ItemId,DEL_PRODUCT,StructureId,APDivision,APLabel,APMerchDivision,APClass,APSubClass,ProductCategoryCode,ProductCategoryDesc,ProductClassCode,ProductClassDesc,ProductSubclassCode,ProductSubclassDesc,MerchDivisionCode,MerchDivisionDesc,ColorFamily,USBoardNumber,MerchOrganizationDesc,MSSP,FactoryCost,APSeasonYear,APSeason,APYear,APItemDescription,RetailTypeId,EventId,USSizeOffering
WMPODNMN9820049,0,WM,WM,PO,N,DNM,98,JE,JEANS,KIN,SKINNY,AKL,ANKLE,211,W PRL APP SPRTSWR,BLUE,OE231C06,WOMENS APPAREL,NULL,25.8,NOS2023,NOS,2023,HIGH RISE SK-SKINNY-ANKLE-SKINNY LOW STR DENIM,SINGLE PRICE,FULLPRICE,24-34 A2
WMPOKNINFB20480,0,WM,WM,PO,N,KNI,FB,KN,KNIT SHIRTS,SWS,SWEATSHIRT,LSL,LONG SLEEVE,211,W PRL APP SPRTSWR,NAVY-410,OK231C26,WOMENS APPAREL,NULL,15.28,NOS2023,NOS,2023,PRL SHRKNHD-LONG SLEEVE-SWEATSHIRT ARCTIC FLEECE,SINGLE PRICE,FULLPRICE,XXS-XXL
WMPOKNINFB20481,0,WM,WM,PO,N,KNI,FB,KN,KNIT SHIRTS,SWS,SWEATSHIRT,LSL,LONG SLEEVE,211,W PRL APP SPRTSWR,GREY,OK231C26,WOMENS APPAREL,NULL,17.06,NOS2023,NOS,2023,PRL SHRKNHD-LONG SLEEVE-SWEATSHIRT ARCTIC FLEECE,SINGLE PRICE,FULLPRICE,XXS-XXL
WMPOOTWNDI20005,0,WM,WM,PO,N,OTW,DI,OW,OUTERWEAR,RCT,TRENCH,UNL,UNLINED,211,W PRL APP SPRTSWR,BEIGE/KHAKI,OO231C60,WOMENS APPAREL,NULL,107.73,NOS2023,NOS,2023,ISC TRCH CT-UNLINED-TRENCH 1/12D TRACTATE TWLL,SINGLE PRICE,FULLPRICE,XXS-XXL
WMPODNMNA020027,0,WM,WM,PO,N,DNM,A0,JE,JEANS,STR,STRAIGHT,AKL,ANKLE,211,W PRL APP SPRTSWR,BLUE,OE231C26,WOMENS APPAREL,NULL,33.5,NOS2023,NOS,2023,CARROT-STRAIGHT-ANKLE-STRAIGHT 3X1 RIGID DENIM,SINGLE PRICE,FULLPRICE,24-34 A2
WMPOKNINFB20482,0,WM,WM,PO,N,KNI,FB,KN,KNIT SHIRTS,SWS,SWEATSHIRT,LSL,LONG SLEEVE,211,W PRL APP SPRTSWR,WHITE,OK231C26,WOMENS APPAREL,NULL,13.98,NOS2023,NOS,2023,PRL SHRKNHD-LONG SLEEVE-SWEATSHIRT ARCTIC FLEECE,SINGLE PRICE,FULLPRICE,XXS-XXL
WMPOSHTNDO20371,0,WM,WM,PO,N,SHT,DO,SI,SHIRTS,BFS,BUTTON FRONT SHIRT,LSL,LONG SLEEVE,211,W PRL APP SPRTSWR,NAVY-410,OD231C54,WOMENS APPAREL,NULL,58.75,SPR2023,SPR,2023,LS CRLTE ST-LONG SLEEVE-BUTTON FRONT SHIRT 30MM SILK CHARMEU,SINGLE PRICE,PSR,00-18
MAXGBGS0H120006,0,MA,MA,XG,0,BGS,H1,BG,BAGS,GLB,GOLF BAG,N/A,NO SUBCLASS,453,M RLX GOLF LIC ACC,NAVY-410,RLC010SNV,ACCESSORIES,NULL,0,NOS2023,NOS,2023,STAND BAG-GOLF BAG POLYESTER,SINGLE PRICE,FULLPRICE,ONE SIZE
MAXGBGS0G620005,0,MA,MA,XG,0,BGS,G6,BG,BAGS,TTE,TOTE,EXL,EXTRA LARGE,453,M RLX GOLF LIC ACC,NAVY-410,RLT010NV,ACCESSORIES,NULL,0,NOS2023,NOS,2023,TOTE BAG-TOTE-EXTRA LARGE POLYESTER,SINGLE PRICE,FULLPRICE,ONE SIZE
MAXGBGS0H120007,0,MA,MA,XG,0,BGS,H1,BG,BAGS,GLB,GOLF BAG,N/A,NO SUBCLASS,453,M RLX GOLF LIC ACC,GREY,RLC010SGY,ACCESSORIES,NULL,0,NOS2023,NOS,2023,STAND BAG-GOLF BAG POLYESTER,SINGLE PRICE,FULLPRICE,ONE SIZE
