ItemId,DEL_PRODUCT,StructureId,APDivision,APLabel,APMerchDivision,APClass,APSubClass,ProductCategoryCode,ProductCategoryDesc,ProductClassCode,ProductClassDesc,ProductSubclassCode,ProductSubclassDesc,MerchDivisionCode,MerchDivisionDesc,ColorFamily,USBoardNumber,MerchOrganizationDesc,MSSP,FactoryCost,APSeasonYear,APSeason,APYear,APItemDescription,RetailTypeId,EventId,USSizeOffering
MAPOPTW09120087,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,BLACK,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD PLD REDPP-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
HMRLBEDHR222500,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,PLW,PILLOW,602,RL LIC HME,TURQUOISE/AQUA-440,60290714,HOME,NULL,0,SPR2022,SPR,2022,O 10X16 TP-CLASSIFICATION BDDNG-PILLOW RUGBY BEAR280421,SINGLE JAPAN,OUTLET,10X16 TP
HMRLBEDHR222501,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,PLW,PILLOW,602,RL LIC HME,PINK,60290715,HOME,NULL,0,SPR2022,SPR,2022,O 10X16 TP-CLASSIFICATION BDDNG-PILLOW CRS BDY BEAR281461,SINGLE JAPAN,OUTLET,10X16 TP
HMRLBEDHR222504,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,PLW,PILLOW,602,RL LIC HME,TURQUOISE/AQUA-440,60290714,HOME,NULL,0,SPR2022,SPR,2022,O 18X18 TP-CLASSIFICATION BDDNG-PILLOW RUGBY BEAR280921,SINGLE JAPAN,OUTLET,18X18 TP
MAPOPTW09120089,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,DARK RED-601,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD POLKA DOT-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
HMRLBEDHR222507,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,PCO,PILLOWCASE,602,RL LIC HME,PINK,60290715,HOME,NULL,0,SPR2022,SPR,2022,O JPN PC-CLASSIFICATION BDDNG-PILLOWCASE CRS BDY BEAR281361,SINGLE JAPAN,OUTLET,JUMBO BED PILLOW
MAPOPTW09120091,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,BLACK,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD PLAID-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
MAPOPTW09120093,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,GREEN,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD STRIPE-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
HMRLBEDHR222510,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,PCO,PILLOWCASE,602,RL LIC HME,TURQUOISE/AQUA-440,60290714,HOME,NULL,0,SPR2022,SPR,2022,O JPN PC-CLASSIFICATION BDDNG-PILLOWCASE RUGBY BEAR280321,SINGLE JAPAN,OUTLET,JUMBO BED PILLOW
MAPOPTW09120094,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,PINK,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD CLRBLK-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
HMRLBEDHR222512,0,HM,HM,RL,H,BED,R2,BD,BEDDING,CSB,CLASSIFICATION BDDNG,DVC,DUVET COVER,602,RL LIC HME,LIGHT BEIGE-270,60290716,HOME,NULL,0,NOS2022,NOS,2022,JPN TW/S DVT-CLASSIFICATION BDDNG-DUVET COVER BEDFORD JQ611034,SINGLE PRICE,FULLPRICE,TW DVT
MAPOPTW09120096,0,MA,MA,PO,0,PTW,91,PT,PERSONAL TOWEL,HDC,HANDKERCHIEF,N/A,NO SUBCLASS,449,M PRL LIC ACC,NAVY-410,44990722,ACCESSORIES,NULL,0,FAL2022,FAL,2022,YD POLKA DOT-HANDKERCHIEF COTTON,SINGLE PRICE,PSR,ONE SIZE
